amount,currency,userId,paymentStatus,paymentType
2594.08,USD,3714,NEW,CARD
1822.47,USD,3774,FAILED,CARD
1044.51,EUR,3224,NEW,BLIK
4075.99,USD,2815,FAILED,CARD
4017.72,PLN,4518,NEW,CARD
1739.52,EUR,483,FAILED,TRANSFER
3461.87,PLN,4146,NEW,TRANSFER
956.05,USD,804,PAID,BLIK
1507.13,USD,62,PAID,CARD
3523.17,PLN,3182,FAILED,TRANSFER
397.04,EUR,3956,FAILED,BLIK
4831.73,PLN,1272,PAID,CARD
1889.28,USD,1420,NEW,CARD
3330.56,EUR,1904,FAILED,BLIK
4058.91,USD,28,PAID,CARD
3351.46,PLN,3491,PAID,TRANSFER
1316.1,PLN,3193,FAILED,CARD
307.73,USD,2214,NEW,CARD
4571.58,EUR,1817,NEW,CARD
3902.89,USD,2981,PAID,TRANSFER
4856.26,EUR,4025,PAID,BLIK
1958.37,PLN,2765,NEW,CARD
1746.78,PLN,760,NEW,TRANSFER
3546.1,USD,38,NEW,BLIK
4492.67,EUR,969,NEW,BLIK
3322.7,EUR,2929,NEW,CARD
1801.26,PLN,859,FAILED,BLIK
1610.79,EUR,3541,FAILED,CARD
2608.43,PLN,4886,NEW,CARD
3913.59,USD,1254,NEW,BLIK
4193.31,PLN,822,PAID,TRANSFER
1341.3,EUR,3347,NEW,CARD
2129.03,EUR,3315,NEW,TRANSFER
1777.83,USD,4361,PAID,BLIK
282.27,EUR,4105,NEW,TRANSFER
1482.79,PLN,1385,NEW,BLIK
327.47,PLN,4505,NEW,TRANSFER
1296.72,EUR,2928,FAILED,CARD
1499.44,EUR,1319,NEW,CARD
2369.43,USD,1406,NEW,CARD
2242.77,EUR,1109,PAID,BLIK
606.75,USD,2691,NEW,TRANSFER
3109.53,USD,3745,PAID,BLIK
4919.52,USD,4456,NEW,BLIK
2623.9,PLN,2066,PAID,BLIK
3695.77,USD,2482,FAILED,CARD
1326.19,USD,339,FAILED,CARD
3867.46,EUR,1502,NEW,BLIK
669.18,PLN,264,PAID,CARD
1092.63,EUR,596,FAILED,BLIK
3854.68,PLN,2468,PAID,TRANSFER
2754.25,EUR,3196,PAID,TRANSFER
3681.44,USD,4784,NEW,TRANSFER
3793.58,PLN,4961,PAID,CARD
4211.17,USD,3949,FAILED,CARD
3076.42,PLN,3328,PAID,TRANSFER
765.77,EUR,264,PAID,TRANSFER
4168.53,USD,1031,NEW,BLIK
